
ticker=NIO, epochs=29, units=40, prediction_days=44, dense_units=0.6,     ratio=[0.82986206]
ticker=RIOT, epochs=28, units=26, prediction_days=8, dense_units=0.9,     ratio=[0.35091844]
ticker=RIOT, epochs=13, units=41, prediction_days=69, dense_units=0.9,     ratio=[0.6039051]
ticker=RIOT, epochs=15, units=21, prediction_days=63, dense_units=0.9,     ratio=[0.47851318]
ticker=RIOT, epochs=30, units=30, prediction_days=39, dense_units=0.6,     ratio=[0.76925516]
ticker=RIOT, epochs=15, units=23, prediction_days=22, dense_units=0.5,     ratio=[0.8002001]
ticker=NIO, epochs=30, units=20, prediction_days=65, dense_units=0.3,     ratio=[0.7638487]
ticker=RIOT, epochs=21, units=59, prediction_days=24, dense_units=0.7,     ratio=[0.73115075]
ticker=RIOT, epochs=15, units=54, prediction_days=51, dense_units=0.2,     ratio=[0.80560696]
ticker=NIO, epochs=11, units=46, prediction_days=31, dense_units=0.2,     ratio=[0.8031865]
ticker=RIOT, epochs=19, units=41, prediction_days=53, dense_units=0.4,     ratio=[0.82178146]
ticker=RIOT, epochs=28, units=58, prediction_days=62, dense_units=0.1,     ratio=[0.82662964]
ticker=RIOT, epochs=25, units=30, prediction_days=58, dense_units=0.8,     ratio=[0.38848335]
ticker=RIOT, epochs=23, units=37, prediction_days=18, dense_units=0.8,     ratio=[0.6246792]
ticker=RIOT, epochs=16, units=44, prediction_days=67, dense_units=0.9,     ratio=[0.655555]
ticker=NIO, epochs=25, units=33, prediction_days=53, dense_units=0.3,     ratio=[0.7224303]
ticker=NIO, epochs=13, units=28, prediction_days=14, dense_units=0.6,     ratio=[0.6781072]
ticker=NIO, epochs=18, units=20, prediction_days=53, dense_units=0.2,     ratio=[0.7805824]
ticker=RIOT, epochs=11, units=55, prediction_days=25, dense_units=0.2,     ratio=[0.88400674]
ticker=RIOT, epochs=28, units=38, prediction_days=22, dense_units=0.6,     ratio=[0.7686162]
ticker=RIOT, epochs=13, units=52, prediction_days=44, dense_units=0.9,     ratio=[0.8687517]
ticker=NIO, epochs=19, units=30, prediction_days=30, dense_units=0.7,     ratio=[0.78374463]
ticker=RIOT, epochs=23, units=27, prediction_days=17, dense_units=0.6,     ratio=[0.6893397]
ticker=NIO, epochs=21, units=22, prediction_days=44, dense_units=0.6,     ratio=[0.7537054]
ticker=RIOT, epochs=14, units=35, prediction_days=56, dense_units=0.8,     ratio=[0.5919419]
ticker=NIO, epochs=28, units=56, prediction_days=65, dense_units=0.3,     ratio=[0.8019334]
ticker=RIOT, epochs=11, units=21, prediction_days=35, dense_units=0.4,     ratio=[0.80811936]
ticker=RIOT, epochs=17, units=35, prediction_days=11, dense_units=0.6,     ratio=[0.9284035]
ticker=NIO, epochs=26, units=25, prediction_days=24, dense_units=0.4,     ratio=[0.89862305]
ticker=RIOT, epochs=18, units=41, prediction_days=54, dense_units=0.7,     ratio=[0.70900095]
ticker=RIOT, epochs=23, units=26, prediction_days=43, dense_units=0.6,     ratio=[0.8284698]
ticker=NIO, epochs=11, units=47, prediction_days=32, dense_units=0.5,     ratio=[0.86704946]
ticker=NIO, epochs=24, units=54, prediction_days=56, dense_units=0.2,     ratio=[0.8207386]
ticker=NIO, epochs=15, units=58, prediction_days=9, dense_units=0.2,     ratio=[0.9570595]
ticker=RIOT, epochs=25, units=32, prediction_days=58, dense_units=0.4,     ratio=[0.8356169]
ticker=RIOT, epochs=22, units=39, prediction_days=21, dense_units=0.7,     ratio=[0.85385746]
ticker=NIO, epochs=14, units=21, prediction_days=16, dense_units=0.1,     ratio=[0.9297756]
ticker=NIO, epochs=10, units=56, prediction_days=61, dense_units=0.8,     ratio=[0.63446534]
ticker=RIOT, epochs=15, units=38, prediction_days=64, dense_units=0.5,     ratio=[0.8296503]
ticker=NIO, epochs=17, units=56, prediction_days=52, dense_units=0.7,     ratio=[0.82819104]
ticker=RIOT, epochs=16, units=39, prediction_days=44, dense_units=0.5,     ratio=[0.8039811]
ticker=RIOT, epochs=28, units=44, prediction_days=49, dense_units=0.2,     ratio=[0.8313077]
ticker=NIO, epochs=22, units=54, prediction_days=43, dense_units=0.8,     ratio=[0.56266224]
ticker=NIO, epochs=16, units=45, prediction_days=33, dense_units=0.9,     ratio=[0.4809968]
ticker=NIO, epochs=25, units=49, prediction_days=53, dense_units=0.9,     ratio=[0.61097705]
ticker=NIO, epochs=16, units=34, prediction_days=10, dense_units=0.8,     ratio=[0.79201496]
ticker=RIOT, epochs=17, units=20, prediction_days=42, dense_units=0.4,     ratio=[0.69249415]
